artist,song_name,pallavi,anupallavi,f_caranam,l_caranam,no_caranam,no_ap
Tyagaraja,song001.txt,"pallavi
rAga sudhArasa pAnamu jEsi rAjillavE manasA <EOP>
","anupallavi
yAga yOga tyAga bhOga phala mosangE <EOP>
",,"caraNam
sadAshiva mayamagu nAdOnkAra svara vidulu jIvan muktulani tyAgarAju teliyu <EOS>
",1,1
Tyagaraja,song002.txt,"pallavi
mAnamu lEdA tanavADana-yabhimAnamu lEdA <EOP>
","anupallavi
kAnamura nIvale nirmOhini gAnaruci deliyu kushalava janaka <EOP>
",,"caraNam
nI samukhamuna ravi tanayuDu ninu bAsalu balkaga rOsamutO 
simhAsana dhIpti jEsina nIku dAsuDaina tyAgarAja karArcita <EOS>
",1,1
Tyagaraja,song003.txt,"pallavi
nA moralanu vini emara valEnA pAmara manujulalO O rAma <EOP>
","anupallavi
tOmara nAracamulai manasuku dOcenA bhakta pApa vimOcana <EOP>
","caraNam
ibha rAjEndruDu yekkuvaina lanca miccuna dEmirA 
sabhalO mAnamu bOvu samayambuna sati EmiccEnura O rAma <EOP>
","caraNam
bhAgavatAgrEsara rasikAvana jAgarUkuDani pErE 
rAga svara yuta prEma bhaktajana rakSaka tyAgarAja vandita <EOS>
",2,1
Tyagaraja,song004.txt,"pallavi
vandanamu raghunandana sEtu bandhana bhakta candana rAma <EOP>
","anupallavi
shrIdamA nAtO vAdamA nE bhEdamA idi mOdamA rAma <EOP>
","caraNam
shrI rAma hrccaramA brOva bhAramA rAya bAramA rAma <EOP>
viNTini nammu koNTini sharraNaNtini rammaNTini rAma <EOP>
Odanu bhakti vIDanu orula vEDanu nIvADanu rAma <EOP>
kammani viDa mimmani varamu kommani paluka rammani rAma <EOP>
nyAyamA nIku dAyamA inka hEyamA munigEyamA rAma <EOP>
cUDumi kApADumi mammu pODimigaA gUDumi rAma <EOP>
kSEmamu divya dhAmamu nitya nEmamu rAma nAmamu rAma <EOP>
","caraNam
vEgarA karuNa sAgarA shrI tyAgarAja hrdayAgArA rAma <EOS>
",8,1
Tyagaraja,song005.txt,"pallavi
E varamaDugudurA rAmA nI <EOP>
","anupallavi
pAvanamagu nI pAda bhajanamu sEyuTakaina dOva lEbaramainadi dEvara indunE <EOP>
","caraNam
shrI rAghuvara sakalAdhara nI manasuna kOrina panulanu
padasArasamula nA mana sAraga viDuvananE sAratara vairAgyamu sAreku satatagati-kumAruni
pAlainadi <EOP>
nIlaghanAbha sadA kAlamu nI bhaktula jAlamulanu gani paripAlana jEyucu nI
pOlikagA jUcu mElunagala saukhyamu bAluDagu ripughnuni pAlaiyuNDAga nI <EOP>
nI mahimalu vinagA nAmamunu dalacaga bhUmini padarEkhala nEmarakanu kanagA
tAmarasa nayanA guNadhAmA manasu karagu prEma rasamu bharatasvAmi pAlaiyuNDaga nI <EOP>
varamu nIdu manasu dAri nanusarincucu nEramu lEkanu yAhAra susuptulanu nI
vAraNamu jEyu paricAraka bhAgya malamu kAriyamu sumitra-kumAruni pAlaiyunDaga nI <EOP>
shrIhari bharita sharasamUha sadA ninu hrd-gEhamunanu gani durdAhamulanu rOsi vi-
vAhanuDu nIvanu mOhambunanu maraci sOhamanu sukhamu vaidEhi pAlaiyuNDaga <EOP>
","caraNam
I jagatini gala sukha rAjini mari nirjara padambulanE nI janmamuna naDuganu
rAjavadana tyAgarAjuni madi keppuDu rAja paThamulaitE jayamau gani <EOS>
",6,1
Tyagaraja,song006.txt,"pallavi
endarO mahAnubhAvu-landariki vandanamu <EOP>
","anupallavi
canduru varNuni anda candamunu hrdayAra-
vindamuna jUci brahmAnandamanu bhavincu vAr- <EOP>
","caraNam
sAma gAna lOla manasija lAvaNya dhanya mUrdhanyul <EOP>
mAnasa vana cara vara sancAramu salipi mUrti bAguga pogaDanE vAr- <EOP>
saraguna pAdamulaku svAntamanu sarOjamunu samarpaNamu sEyu vAr- <EOP>
patita pAvanuDanE parAtparuni gurinci paramArthamagu nija mArgamutOnu
bADucunu sallApamutO svara layAdi rAgamula deliyu vAr- <EOP>
hari guNa maNimaya saramulu galamuna shObhillu bhakta kOTulilalO telivitO
celimitO karuNa galgu jagamellanu sudhA drSTicE brOcu vAr- <EOP>
hoyalu mIra naDalu galgu sarasuni sadA kanula jucucunu pulaka
sharIrula I Ananda payOdhi nimagnula I mudambunanu yashamu galavAr- <EOP>
parama bhAgavata mauni vara shashi vibhAkara sanaka sanandana
digIsha sura kimpuruSa kanaka kashipu suta nArada tumburu
pavanasUnu bAlacandra dhara shuka sarOjabhava bhUsuravarulu
parama pAvanulu ghanulu shAshvatulu kamala bhava sukhamu
sadAnubhavulu gAka <EOP>
nI mEnu nAma vaibhavambulanu nI parAkrama dhairyamula shAnta mAnasamu nIvulanu
vacana satyamunu  raghuvara nIyeDa sadbhaktiyu janincakanu durmatamulanu kalla
jEsinaTTi nImadi neringi santasambunanu guNa bhajanA-nanda kirtanamu jEyu vAr- <EOP>
bhAgavata rAmAyaNa gItAdi shruti shAstra purAnamu marmamulanu shivAdi sanmatamula
gUDhamulan muppadi mukkOTi surAntarangamula bhAvamula nerigi bhava rAga layAdi
saukhyamucE cirAyuvula galigi niravadhi sukhAtmulai tyAgarAptulaina vAr- <EOP>
","caraNam
prEma muppiri gonu vELa nAmamu dalacEvAru rAmabhaktuDaina
tyAgarAjanutuni nija dAsulaina vAr- <EOS>
",10,1
Tyagaraja,song007.txt,"pallavi
vAsudEva varaguNa mAmava <EOP>
",,"caraNam
vAsava hrdaya nivAsa cidvilAsa <EOP>
sAkhA shayana bhava sAgara tAraka <EOP>
nIraja nayana ghana nIla sujana pAla <EOP>
","caraNam
bhAgavata priya tyAgarAjARcita <EOS>
",4,0
Tyagaraja,song008.txt,"pallavi
shrI raghuvara-apramEya mAmava <EOP>
","anupallavi
shrI raghukula jalanidhi sOma shrI rAma pAlaya <EOP>
","caraNam
sArasa hita kulAbja bhrnga sangIta lOla <EOP>
virOcana kulEshvara svara layAdi mUrcanOllAsita nArada vinuta <EOP>
shrI bhAskara kulAdri dIpa shrI bhAgavata vinuta sucaraNa <EOP>
","caraNam
sItA nAtha bhAgadEya tyAgarAjanuta nIla sutApta suguNAbharaNa <EOS>
",4,1
Tyagaraja,song009.txt,"pallavi
Emi jEsitE nEmi shrI rAma svAmi karuNa lEni vArilalO <EOP>
","anupallavi
kAma mOha dAsulai shrI rAmuni kaTTu teliyani vArilalO <EOP>
","caraNam
immu kaligitE nEmi illAliki sommu beTTite Emi kamma
viltu kElini delisi Emi tammi kantiv ni karuNalEni vArilalO <EOP>
savamu jEsitE nEmi kalimini putrOtsavamu galigitE nEmi bhuvilOnanya
bIja janituni goni Emi shivakara shrI rAmuni dayalEni vArilalO <EOP>
meDagaTTitE nEmi anduna lAndaru jODu gaTTitE nEmi cEDiyalanu
meppinca delisitE nEmi IDulEni rAmuni dayalEni vArilalO <EOP>
rAjyamElitE nEmi bahujanulalO pUjyulaitE nEmi Ajya pravAhamutO
nannamiDitE nEmi pUjyuDaina rAmuni dayalEni vArilalO <EOP>
","caraNam
guruvu tAnaitE nEmi kaNTiki mEnu guruvai tOcitE nEmi vara
mantramanyula-kupadEshincatE nEmi vara tyAgarAja nutuni dayalEni vArilalO <EOS>
",5,1
Tyagaraja,song010.txt,"pallavi
tIrunA lOni dugdha <EOP>
","anupallavi
sAramau nI pAda sArasamu nAdu hrdayAra vindamuna beTTi kaTTu kOka <EOP>
","caraNam
kamma viltuni ganna kAnti galigina hari mummAru pAlannamu bhujimpa beTTi
kammani viDa mosagi kaDu ratnamulu merayu tamma paDiganu baTTi tAnipuDu nilavakanu <EOP>
anudinamunu nIdu padAbjamula nottucunu kanaka mayamu suraTi karamu niDi visari 
ghanamaina phaNi talpamuna nunci pADucunu kanulAra sEvinci kAlamula gaDapakanu <EOP>
","caraNam
rAjAdhirAja sura rAja vandita pAda shrI jAnakIramaNa shrngAra jaladhE
rAja dharuDagu tyAgarAja pUjituDanucu rAjillu nI kIrti rAjiga bogaDakanu <EOS>
",3,1
